Solubiliti,Viscosity,y1,y2,y3,y4,y5,y6,HBA name,HBD name,SMILE HBA,SMILE HBD
-4.212653160095215,3.5763401985168457,19,0,1,7,313.3057831520573,231.0333108700437,Methyltriphenylphosphonium bromide,Ethylenecyanohydrin,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],N#CCCO
-3.743528127670288,3.6216917037963867,6,18,1,11,324.61023095650506,245.41650525263145,Benzyltriethylammonium chloride,Triethyleneglycol,CC[N+](CC)(CC)Cc1ccccc1.[Cl-],OCCOCCOCCO
-4.3807172775268555,3.1532697677612305,17,1,1,11,319.8403930851973,164.06590547402374,Tetraethylammonium bromide,"1,2,4-triazole",CC[N+](CC)(CC)CC.[Br-],c1nc[nH]n1
-4.292715072631836,3.492964267730713,3,18,1,9,303.650106713269,146.95873520709398,Choline chloride,Triethyleneglycol,C[N+](C)(C)CCO.[Cl-],OCCOCCOCCO
-4.373543739318848,3.4162864685058594,21,21,1,12,307.9161171289586,179.30269521436415,Betain,"2,3-butanediol",C[N+](C)(C)CC(=O)[O-],CC(O)C(C)O
-4.855385780334473,2.5549182891845703,13,26,1,6,317.04169010307356,152.92252398752487,Guanidinium chloride,Ethylenecyanohydrin,[Cl-].N=C(N)[NH3+],N#CCCO
-5.09026575088501,2.5442066192626953,19,6,1,9,333.58688655824244,224.63625622026262,Methyltriphenylphosphonium bromide,Ethylene glycol,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],OCCO
-5.17671537399292,2.348245859146118,17,12,1,6,345.5689515863174,37.05078134287645,Tetraethylammonium bromide,Ethanolamine,CC[N+](CC)(CC)CC.[Br-],NCCO
-4.782433986663818,2.881295680999756,10,23,1,5,322.9296385605161,155.7920771250409,Tetraethylammonium chloride,Guaiacol,CC[N+](CC)(CC)CC.[Cl-],COc1ccccc1O
-4.06046199798584,3.7491791248321533,7,0,1,8,303.52889095877583,146.44533896389183,Benzyltrimethylammonium chloride,Ethylenecyanohydrin,C[N+](C)(C)Cc1ccccc1.[Cl-],N#CCCO
-4.238654136657715,3.6476316452026367,23,8,1,10,341.97735543185274,214.66056188018024,Tetrabutylphosphonium bromide,Glycerol,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],OCC(O)CO
-3.890054702758789,4.484950542449951,24,22,1,3,310.890292033123,166.32270420172185,Allyltriphenylphosphonium bromide,"1,2-propanediol",C=CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],CC(O)CO
-3.9293737411499023,4.088110446929932,14,26,1,4,316.2379471045452,110.69285691809819,Trioctylmethylammonium chloride,Ethylenecyanohydrin,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],N#CCCO
-4.679372310638428,3.206228256225586,5,12,1,16,347.0682371043825,29.72362566295907,Tetraoctylammonium bromide,Ethanolamine,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],NCCO
-4.308671951293945,3.5612378120422363,14,11,1,11,330.0628934253228,154.5622072220115,Trioctylmethylammonium chloride,Levulinic acid,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],CC(=O)CCC(=O)O
-4.3851470947265625,3.449833869934082,15,0,1,4,332.1401048300565,72.53529130442794,Trioctylmethylammonium bromide,Ethylenecyanohydrin,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Br-],N#CCCO
-5.045243740081787,2.704293727874756,3,13,1,10,319.92081841277,189.6097951148788,Choline chloride,Diethyleneglycol,C[N+](C)(C)CCO.[Cl-],OCCOCCO
-5.179665565490723,2.548234224319458,1,25,1,7,340.67921607895465,46.83545102246695,Acetylcholine chloride,diethanolamine,CC(=O)OCC[N+](C)(C)C.[Cl-],OCCNCCO
-5.613027095794678,2.5082035064697266,3,6,1,2,334.27453256435774,171.65437280718618,Choline chloride,Ethylene glycol,C[N+](C)(C)CCO.[Cl-],OCCO
-4.808904647827148,3.117414712905884,3,10,1,11,323.55207317595193,224.65040263857324,Choline chloride,Lactic acid,C[N+](C)(C)CCO.[Cl-],CC(O)C(=O)O
-3.926185131072998,5.439136028289795,15,11,1,12,304.64052946884476,177.782558191073,Trioctylmethylammonium bromide,Levulinic acid,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Br-],CC(=O)CCC(=O)O
-4.680434703826904,3.2329888343811035,21,6,1,16,297.294044080337,235.10970211738035,Betain,Ethylene glycol,C[N+](C)(C)CC(=O)[O-],OCCO
-4.354097843170166,4.54425048828125,9,26,1,1,309.963336060795,138.38262203184348,Tetrabutylammonium chloride,Ethylenecyanohydrin,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],N#CCCO
-4.547213077545166,3.6279585361480713,14,12,1,8,320.6056358936614,95.9631573108325,Trioctylmethylammonium chloride,Ethanolamine,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],NCCO
-4.4372782707214355,4.265035152435303,23,19,1,1,326.7832540976124,164.60339392638664,Tetrabutylphosphonium bromide,Octanoic acid,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],CCCCCCCC(=O)O
